Name,Treble,Author,Date,Website,Folder,Download link,XDA link,Telegram link,4PDA post link
AIM,,Team Ghost,2017-11-06,sourceforge.net/projects/aimroms,sourceforge.net/projects/aimroms/files/santoni,download.sourceforge.net/aimroms/AIM-System-V2.5-20171106-OFFICIAL-santoni-FINAL.zip,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3667075,,4pda.ru/forum/index.php?act=findpost&pid=64662917
AOKP,,Team Kang,2017-08-29,aokp.co,,androidfilehost.com/?fid=745425885120758619,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3664435,,
AICP,,Tingyi Chen / isaacchen,2017-08-17,,,androidfilehost.com/?fid=817550096634793242,forum.xda-developers.com/android/development/-t3657734,,4pda.ru/forum/index.php?act=findpost&pid=63640383
AOSCP,,Swapnil Soni,2017-10-14,,,androidfilehost.com/?fid=745849072291681093,,,
AOSCP,,Abhiraj Singh,2017-08-30,,,androidfilehost.com/?fid=889764386195926193,,,4pda.ru/forum/index.php?act=findpost&pid=64726032
AOSP CAF,,Swapnil Soni,2017-11-10,,,androidfilehost.com/?fid=889964283620764890,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3694483,,4pda.ru/forum/index.php?act=findpost&pid=70157037
AOSP CAF,,star_god,2018-03-19,,drive.google.com/drive/folders/1I04Hl7Hdcdyi1n-KDzVX4SS0Kbl2U-tB,drive.google.com/uc?id=1dAB6FlxO2nGoPD9NXmA_xAPvg42gHl4z&export=download,,,4pda.ru/forum/index.php?act=findpost&pid=71338863
AEX,,Tingyi Chen / isaacchen,2017-10-05,aospextended.com,,androidfilehost.com/?fid=745849072291678748,,,4pda.ru/forum/index.php?act=findpost&pid=71472477
AEX,,Swapnil Soni,2018-01-05,,,androidfilehost.com/?fid=889964283620776289,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3735851,,4pda.ru/forum/index.php?act=findpost&pid=69195391
AOSP JDC,,JDC Team,2017-09-10,,,androidfilehost.com/?fid=817550096634798280,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3679303,,4pda.ru/forum/index.php?act=findpost&pid=65960472
Atomic,,mayu19,2017-09-05,,,androidfilehost.com/?fid=961840155545593364,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3670062,,4pda.ru/forum/index.php?act=findpost&pid=68085839
Aquari,,avirk,2017-09-04,,,androidfilehost.com/?fid=889764386195927299,forum.xda-developers.com/xiaomi-redmi-4x/how-to/-t3651731,,4pda.ru/forum/index.php?act=findpost&pid=65124913
Colt,,Abhiraj Singh,2017-12-07,,,androidfilehost.com/?fid=962021903579496952,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3678518,,4pda.ru/forum/index.php?act=findpost&pid=74015287
Carbon,,Abhiraj Singh,2017-10-24,,,androidfilehost.com/?fid=962021903579487416,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3693995,,4pda.ru/forum/index.php?act=findpost&pid=71809208
Candy,,Swapnil Soni,2017-11-08,,,androidfilehost.com/?fid=817906626617945027,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3678965,,
crDroid,,crDroid Team,2017-12-16,,androidfilehost.com/?w=files&flid=208305,androidfilehost.com/?fid=889964283620772620,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3660746,,4pda.ru/forum/index.php?act=findpost&pid=63646596
crDroid,,noticemeesenpai,2018-08-25,,,drive.google.com/uc?id=1zq07L16wwynSXok3X1JSgXoOYGS2kdtB&export=download,,,4pda.ru/forum/index.php?act=findpost&pid=76419784
