Name,Treble,Author,Date,Website,Folder,Download link,XDA link,Telegram link,4PDA post link
AOKP,No,Bikram_M,2018-12-21,sourceforge.net/projects/bikram-project,sourceforge.net/projects/bikram-project/files/Oreo/AOKP,download.sourceforge.net/bikram-project/aokp_santoni_oreo__2018-12-21_1927.zip,,,4pda.ru/forum/index.php?act=findpost&pid=78530756
AOSiP,No,noticemeesenpai / tauseef,2018-09-23,sourceforge.net/projects/satansoul,sourceforge.net/projects/satansoul/files/santoni,download.sourceforge.net/satansoul/AOSiP-8.1-Derp-santoni-20180923.zip,,,4pda.ru/forum/index.php?act=findpost&pid=76380286
Arrow,No,Sonal Singh / Sksbss,2018-09-02,arrowos.net,sourceforge.net/projects/arrow-os/files/arrow-8.x/santoni,download.sourceforge.net/arrow-os/Arrow-v8.1-santoni-OFFICIAL-20180902.zip,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3822643,t.me/Arrow_OS,4pda.ru/forum/index.php?act=findpost&pid=75561080
Arrow,No,Bikram_M,2018-12-21,sourceforge.net/projects/bikram-project,sourceforge.net/projects/bikram-project/files/Oreo/ArrowOS,download.sourceforge.net/bikram-project/Arrow-v8.1-santoni-UNOFFICIAL-20181221.zip,,,4pda.ru/forum/index.php?act=findpost&pid=80500083
AEX,No,Sonal Singh,2018-08-16,,,androidfilehost.com/?fid=1322778262903982337,,,4pda.ru/forum/index.php?act=findpost&pid=74815286
AEX Optimized,No,Sonal Singh,2018-08-18,,,androidfilehost.com/?fid=1322778262903984168,,,4pda.ru/forum/index.php?act=findpost&pid=70338760
AEX,No,Bikram_M,2019-08-24,sourceforge.net/projects/bikram-project,sourceforge.net/projects/bikram-project/files/Oreo/Aex-Oreo,download.sourceforge.net/bikram-project/AospExtended-v5.8-santoni-20190824-0812-RELEASE.zip,,,4pda.ru/forum/index.php?act=findpost&pid=81554106
Bootleggers,No,noticemeesenpai / tauseef,2018-10-21,sourceforge.net/projects/satansoul,sourceforge.net/projects/satansoul/files/santoni,download.sourceforge.net/satansoul/BootleggersROM-Oreo4santoni.3.0-Stable-Unshishufied-20181021.zip,,,4pda.ru/forum/index.php?act=findpost&pid=76378716
Bootleggers,No,Prakash Singh,2018-09-14,,,androidfilehost.com/?fid=1322778262904005229,,,4pda.ru/forum/index.php?act=findpost&pid=77279125
Cardinal AOSP,No,noticemeesenpai / tauseef,2018-10-08,sourceforge.net/projects/satansoul,sourceforge.net/projects/satansoul/files/santoni,download.sourceforge.net/satansoul/Cardinal-AOSP-5.8.2-OREO-santoni-noticemeesenpai.zip,,,4pda.ru/forum/index.php?act=findpost&pid=76579224
Cardinal AOSP,No,Bikram_M,2019-02-20,sourceforge.net/projects/bikram-project,sourceforge.net/projects/bikram-project/files/Oreo/Cardinal-Aosp,download.sourceforge.net/bikram-project/Cardinal-AOSP-5.8.3-OREO-santoni-20190220-0152.zip,,,4pda.ru/forum/index.php?act=findpost&pid=82613202
crDroid,Yes,crDroid Team,2018-06-23,,androidfilehost.com/?w=files&flid=253691,androidfilehost.com/?fid=674106145207498092,,,4pda.ru/forum/index.php?act=findpost&pid=70513997
crDroid,No,Bikram_M,2018-10-27,sourceforge.net/projects/bikram-project,sourceforge.net/projects/bikram-project/files/Oreo,download.sourceforge.net/bikram-project/crDroidAndroid-8.1-20181027-santoni-v4.7.zip,,,4pda.ru/forum/index.php?act=findpost&pid=78363118
Carbon,No,Ryan Andri / rainforce279,2019-01-16,,drive.google.com/drive/folders/1yZEiVZ3GqjrRY2M5psPR0Azm7MRKgu9c,drive.google.com/uc?id=1rlUGd5ZFy2l4ZZn9isYoczZ-W3tw-rd9&export=download,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3781706,,4pda.ru/forum/index.php?act=findpost&pid=74057674
Carbon,No,vvreddy,2018-11-10,sourceforge.net/projects/teamquantum,sourceforge.net/projects/teamquantum/files/Santoni_releases,download.sourceforge.net/teamquantum/CARBON-CR-6.1-NOCT-UNOFFICIAL-santoni-20181110-0501.zip,,,4pda.ru/forum/index.php?act=findpost&pid=78889126
Cosmic,No,infinity.plus,2018-08-12,sourceforge.net/projects/cosmic-os,sourceforge.net/projects/cosmic-os/files/santoni,download.sourceforge.net/cosmic-os/Cosmic-OS_Pulsar_santoni_8.1.0_20180812_3.2-OFFICIAL.zip,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3811910,,4pda.ru/forum/index.php?act=findpost&pid=74788227
dot,Yes,TioBurla,2018-10-21,,,drive.google.com/uc?id=1uTq7sX91x_y5OJLSzIRCIYkgWsVBfcy5&export=download,,,4pda.ru/forum/index.php?act=findpost&pid=78219238
dot,No,vvreddy,2018-11-12,,,androidfilehost.com/?fid=11410963190603845037,,,4pda.ru/forum/index.php?act=findpost&pid=78934345
dot,Yes,Swapnil Soni,2018-09-16,sourceforge.net/projects/dotos-2-x,sourceforge.net/projects/dotos-2-x/files/santoni,download.sourceforge.net/dotos-2-x/dotOS-O-v2.5-santoni-OFFICIAL-20180916.zip,,,4pda.ru/forum/index.php?act=findpost&pid=71809251
Dirty Unicorns,Yes,fir3walk,2018-08-31,sourceforge.net/projects/team-reloaded,sourceforge.net/projects/team-reloaded/files/santoni/DirtyUnicorns/Special%20Edition,download.sourceforge.net/team-reloaded/du_santoni-v12.5-20180831-2048-UNOFFICIAL.zip,,,4pda.ru/forum/index.php?act=findpost&pid=76643115
Dirty Unicorns,No,vvreddy,2018-11-12,,,androidfilehost.com/?fid=11410963190603845218,,,4pda.ru/forum/index.php?act=findpost&pid=78943838
eelo,Yes,/e/ team,2020-06-25,e.foundation,images.ecloud.global/dev/santoni,images.ecloud.global/dev/santoni/e-0.9-o-2020062560254-dev-santoni.zip,,,4pda.ru/forum/index.php?act=findpost&pid=84093908
franken,No,infinity.plus,2018-08-21,,,androidfilehost.com/?fid=1322778262903986572,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3797621,,4pda.ru/forum/index.php?act=findpost&pid=73780638
