Name,Treble,Author,Date,Website,Download link,XDA link,Telegram link,4PDA post link
AICP,No,hemantbeast,2020-04-04,https://aicp-rom.com,https://dwnld.aicp-rom.com/device/santoni/WEEKLY/aicp_santoni_p-14.0-WEEKLY-20200404.zip,https://forum.xda-developers.com/xiaomi-redmi-4x/development/-t3752147,,https://4pda.ru/forum/index.php?act=findpost&pid=88671997
AOSiP Pizza,No,emrecan001,2019-09-26,,https://drive.google.com/u/0/uc?export=download&id=1NtN4V6tEjAeETx68Dbn-9lOVhI47hMqx,,,https://4pda.ru/forum/index.php?act=findpost&pid=89281070
Arrow OS,Yes,Sonal Singh,2019-10-16,https://arrowos.net,https://download.sourceforge.net/arrow-os/Arrow-v9.0-santoni-OFFICIAL-20191016.zip,https://forum.xda-developers.com/xiaomi-redmi-4x/development/-t3822643,https://t.me/Arrow_OS,https://4pda.ru/forum/index.php?act=findpost&pid=77317907
AOSiP DerpFest,No,bikram_m,2020-05-14,https://sourceforge.net/projects/derpfest,https://download.sourceforge.net/derpfest/AOSiP-9.0-DerpFest-Official-santoni-20200514.zip,https://forum.xda-developers.com/xiaomi-redmi-4x/development/-t3937790,,https://4pda.ru/forum/index.php?act=findpost&pid=81445554
AOSiP DerpFest,No,juwand,2019-10-14,https://sourceforge.net/projects/nangis,https://download.sourceforge.net/nangis/AOSiP-9.0-DerpFest-EOL-santoni-20191014.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=89823362
AospExtended,No,bikram_m,2020-03-18,https://sourceforge.net/projects/bikram-project,https://download.sourceforge.net/bikram-project/AospExtended-v6.7-santoni-20200318-1847-Final.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=94888396
AOSP Extended,No,harukey,2019-09-01,https://www.aospextended.com,https://downloads.aospextended.com/download/santoni/pie/AospExtended-v6.7-santoni-20190901-1331-OFFICIAL.zip,https://forum.xda-developers.com/xiaomi-redmi-4x/development/-t3930703,https://t.me/aospextended,https://4pda.ru/forum/index.php?act=findpost&pid=78474626
AOSP Extended,No,semizumi16,2019-12-17,https://sourceforge.net/projects/nangis,https://download.sourceforge.net/nangis/AospExtended-v6.7-santoni-20191217-1031-UNOFFICIAL.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=88011660
AOSP Extended,No,twsunset,2019-12-12,,https://drive.google.com/uc?export=download&id=1TndUXC0RztbwIr7f4gzMKZBmT-cY0864,,,https://4pda.ru/forum/index.php?act=findpost&pid=89864134
Bootleggers,No,semizumi16,2019-12-04,https://sourceforge.net/projects/nangis,https://download.sourceforge.net/nangis/BootleggersROM-Pie4santoni.4.3-Stable-Unshishufied-20191204-154312.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=88672000
Baikal OS,Yes,beingstargazer (stargazer19),2019-08-14,https://baikalos.ru,https://dl.baikalos.ru/BaikalOS-9/santoni/Baikal-OS-P-santoni-OFFICIAL-20190814-1351.zip,https://forum.xda-developers.com/xiaomi-redmi-4x/development/-t3900660,https://t.me/baikalosru,https://4pda.ru/forum/index.php?act=findpost&pid=79854398
ColtOS,No,Aman Dwivedi,2019-09-27,https://sourceforge.net/projects/aman-builds,https://download.sourceforge.net/aman-builds/ColtOS-Enigma-4.6_UNOFFICIAL-20190927-santoni.zip,https://forum.xda-developers.com/xiaomi-redmi-4x/development/-t3948584,,https://4pda.ru/forum/index.php?act=findpost&pid=87070205
crDroid,Yes,deomani007,2019-09-28,,https://mega.nz/#!iYk3nAKS!XnFHaaPGROnxHur7_6ia8UY2LcWCSGAYOPRShBxaHm0,,,https://4pda.ru/forum/index.php?act=findpost&pid=89140601
Carbon,No,Ryan Andri (rainforce279),2019-11-02,,https://drive.google.com/uc?export=download&id=16Vd7xRHKnlLBkeJRcGjRLeypcVKOrOoJ,https://forum.xda-developers.com/xiaomi-redmi-4x/development/-t3899109,,https://4pda.ru/forum/index.php?act=findpost&pid=79710335
Cosmic OS,No,semizumi16,2019-08-18,https://sourceforge.net/projects/nangis,https://download.sourceforge.net/nangis/Cosmic-OS-v4.0-Corona-santoni-20190818-0412-UNOFFICIAL.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=88144478
DU-REX,No,bikram_m,2019-12-05,https://sourceforge.net/projects/bikram-project,https://download.sourceforge.net/bikram-project/DUREX-Premium-santoni-20191205-1636.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=91589832
Descendant,No,Ojas Sinha (bionicBUG),2019-08-08,,https://androidfilehost.com/?fid=6006931924117932086,https://forum.xda-developers.com/xiaomi-redmi-4x/development/-t3948965,https://t.me/descendant_device_support,https://4pda.ru/forum/index.php?act=findpost&pid=87096274
Evolution X,No,twsunset,2019-11-01,,https://drive.google.com/uc?id=1mK4kAI38B0qOOA4SBoHnqbhvFn3KfxJ_&export=download,,,https://4pda.ru/forum/index.php?act=findpost&pid=90417508
Havoc OS,No,beingstargazer (Stargazer19),2019-09-10,https://sourceforge.net/projects/havoc-os,https://download.sourceforge.net/havoc-os/Havoc-OS-v2.9-20190910-santoni-Official.zip,https://forum.xda-developers.com/xiaomi-redmi-4x/development/-t3908165,https://t.me/Havoc_OS,https://4pda.ru/forum/index.php?act=findpost&pid=76680418
Havoc OS,No,twsunset,2019-10-16,,https://drive.google.com/uc?export=download&id=1PuH2lal6fLvsHKpGHoxXIxzlalq1_pqD,,,https://4pda.ru/forum/index.php?act=findpost&pid=89926222
Lineage OS DarkPhoenix,No,harukey,2019-06-17,https://sourceforge.net/projects/harukeys-roms,https://download.sourceforge.net/harukeys-roms/lineage-DarkPhoenix-16.0-20190617.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=84021504
Lineage OS,Yes,tingyichen (Isaac Chen / Tingy Chen),2020-04-22,https://lineageos.org,https://mirrorbits.lineageos.org/full/santoni/20200422/lineage-16.0-20200422-nightly-santoni-signed.zip,https://forum.xda-developers.com/xiaomi-redmi-4x/development/-t3653016,,https://4pda.ru/forum/index.php?act=findpost&pid=65671190
Lineage OS,No,nichcream,2019-08-29,https://github.com/nichcream/rel,https://github.com/nichcream/rel/releases/download/20190829.0-4.9-land/lineage-16.0-20190829-UNOFFICIAL-land.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=84633971
Mokee,Yes,tingyichen (Isaac Chen / Tingy Chen),2020-06-08,https://mokeedev.com,https://download.mokeedev.com/santoni/file/MK90.0-santoni-202006081327-NIGHTLY.zip/download,,https://t.me/mokeecommunity,https://4pda.ru/forum/index.php?act=findpost&pid=65680907
MSM Extended,No,bikram_m,2019-09-23,https://sourceforge.net/projects/bikram-project,https://download.sourceforge.net/bikram-project/Xtended-santoni-20190923-XP9-FINAL-Release-v19.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=89165036
Nitrogen OS,No,bagaskara,2020-02-09,https://sourceforge.net/projects/nangis,https://download.sourceforge.net/nangis/Nitrogen-OS-P-santoni-20200209.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=86892146
Omni,No,harukey,2019-08-06,https://sourceforge.net/projects/harukeys-roms,https://download.sourceforge.net/harukeys-roms/omni-9-20190806-santoni-HOMEMADE.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=86585121
Pixys OS,No,bionicBUG,2019-08-07,https://sourceforge.net/projects/pixys-os,https://download.sourceforge.net/pixys-os/PixysOS-v2.4-santoni-OFFICIAL-20190807-141947.zip,https://forum.xda-developers.com/xiaomi-redmi-4x/development/-t3943380,https://t.me/pixysos_chat,https://4pda.ru/forum/index.php?act=findpost&pid=76814341
POSP,No,ErrorNetwork28,2019-07-20,https://sourceforge.net/projects/posp,https://download.sourceforge.net/posp/potato_santoni-9-20190720.Baked-v2.3.WEEKLY.zip,https://forum.xda-developers.com/xiaomi-redmi-4x/development/-t3941562,https://t.me/SaucyPotatoesOfficial,https://4pda.ru/forum/index.php?act=findpost&pid=85800831
POSP,No,Aman Dwivedi,2019-09-15,https://sourceforge.net/projects/aman-builds,https://download.sourceforge.net/aman-builds/potato_santoni-9-20190915.CHIPS-v2.3.COMMUNITY.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=89105845
Paranoid,No,Ryan Andri (rainforce279),2019-06-06,,https://drive.google.com/uc?export=download&id=1GtG49ZyQFEtjUFZumAOsNLE9qLGbn_Je,,,https://4pda.ru/forum/index.php?act=findpost&pid=85908826
Pixel Experience Plus,Yes,Arth Doshi (arthdoshi33),2019-09-17,https://sourceforge.net/projects/arthdoshi33,https://download.sourceforge.net/arthdoshi33/PixelExperiencePlus/PixelExperience_Plus_santoni-9.0-20190917-0759-UNOFFICIAL.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=95416764
Pixel Experience,No,ErrorNetwork28,2019-07-24,https://pixelexperience.org,https://yadi.sk/d/JuKA_teeOoHUtw,https://forum.xda-developers.com/xiaomi-redmi-4x/development/-t3927729,https://t.me/PixelExperience,https://4pda.ru/forum/index.php?act=findpost&pid=85120196
Pixel Experience,No,silent27,2019-12-20,,https://mega.nz/folder/INZgnAZI#9fuWhfCuazOO5YPBjxGlmA/file/dRgTQCpD,,,https://4pda.ru/forum/index.php?act=findpost&pid=88394273
Pixel Experience,Yes,deomani007 & Arth Doshi (arthdoshi33),2019-09-28,https://sourceforge.net/projects/arthdoshi33,https://download.sourceforge.net/arthdoshi33/PixelExperience/PixelExperience_santoni-9.0-20190928-0708-FINAL.zip,https://forum.xda-developers.com/xiaomi-redmi-4x/how-to/-t3973197,,https://4pda.ru/forum/index.php?act=findpost&pid=89266469
Ressurection Remix,No,freak,2020-02-13,https://luis-builds.de,https://www.luis-builds.de/downloads/lineageos/rr/Xiaomi_Redmi_4X_(santoni)/RR-P-v7.0.2-20200213-santoni-Unofficial-LuisROM.zip,https://forum.xda-developers.com/xiaomi-redmi-4x/development/-t3912521,https://t.me/rr_luisrom,https://4pda.ru/forum/index.php?act=findpost&pid=67393773
Revenge OS,No,Arth Doshi (arthdoshi33),2019-11-16,https://sourceforge.net/projects/arthdoshi33,https://download.sourceforge.net/arthdoshi33/RevengeOS-2.7-Pasta-OFFICIAL-santoni-20191116-0514.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=90036758
Revenge OS,No,noticemesenpai (Tauseef),2019-11-16,https://osdn.net/projects/revengeos/,https://osdn.net/projects/revengeos/storage/santoni/RevengeOS-2.7-Pasta-OFFICIAL-santoni-20191116-0514.zip,https://forum.xda-developers.com/xiaomi-redmi-4x/development/-t3903887,https://t.me/itsrevengeos,https://4pda.ru/forum/index.php?act=findpost&pid=78374970
Rebellion OS,No,semizumi16,2019-07-24,https://sourceforge.net/projects/nangis,https://download.sourceforge.net/nangis/RebellionOS_P-v1.6-Neptune-santoni-20190724-UNOFFICIAL.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=87340494
Superior OS,No,bikram_m,2020-05-08,https://sourceforge.net/projects/superioros,https://download.sourceforge.net/superioros/SuperiorOS-Phoenix-santoni-OFFICIAL-20200508-0957.zip,https://forum.xda-developers.com/xiaomi-redmi-4x/development/-t3945886,http://t.me/superioros,https://4pda.ru/forum/index.php?act=findpost&pid=89105822
Syberia,No,bagaskara,2019-09-08,https://sourceforge.net/projects/nangis,https://download.sourceforge.net/nangis/syberia_santoni-v2.9-20190908-0446-UNOFFICIAL.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=89108804
Stag OS,Yes,Arth Doshi (arthdoshi33),2019-09-27,https://sourceforge.net/projects/arthdoshi33,https://download.sourceforge.net/arthdoshi33/StagOS-santoni-9.0-UNOFFICIAL-20190927-0914.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=89280350
Validus,No,twsunset,2020-01-06,,https://drive.google.com/uc?export=download&id=1c_E9SpSw1lRL96Aytyjc9PWrg63ejxpC,,,https://4pda.ru/forum/index.php?act=findpost&pid=83984050
