Name,Treble,Author,Date,Website,Download link,XDA link,Telegram link,4PDA post link
AOSP Extended,No,thepsambit,2020-05-30,sourceforge.net/projects/projectnon-treble,download.sourceforge.net/projectnon-treble/AospExtended-v7.2-santoni-20200530-1543-UNOFFICIAL.zip,,,4pda.ru/forum/index.php?act=findpost&pid=96081876
AOSP Extended,Yes,bikram_m,2020-04-16,sourceforge.net/projects/bikram-project,download.sourceforge.net/bikram-project/AospExtended-v7.1-santoni-20200416-0415-HOMEMADE.zip,,,4pda.ru/forum/index.php?act=findpost&pid=94007347
AOSP Extended,Yes,Dhruv Gera (dhruv_gera),2020-04-24,sourceforge.net/projects/santoni-custom-roms,download.sourceforge.net/santoni-custom-roms/AospExtended-v7.1-santoni-20200424-0940-Dhruv-BUILDS.zip,,,4pda.ru/forum/index.php?act=findpost&pid=94091184
AOSP Extended,No,Sem Rossweisse (semizumi16),2020-02-08,sourceforge.net/projects/nangis,download.sourceforge.net/nangis/AospExtended-v7.0-santoni-20200208-1147-UNOFFICIAL.zip,,,4pda.ru/forum/index.php?act=findpost&pid=89820941
AOSiP Quiche,No,rasudunnabi,2020-04-28,sourceforge.net/projects/laggy-stuff,download.sourceforge.net/laggy-stuff/AOSiP-10-Quiche-santoni-20200428.zip,,,4pda.ru/forum/index.php?act=findpost&pid=96013803
AOSiP DerpFest,Yes,bikram_m,2020-06-04,derpfest.org,download.sourceforge.net/derpfest/DerpFest-10-Official-santoni-20200604-VANILLA.zip,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3992297,,4pda.ru/forum/index.php?act=findpost&pid=90216068
AOSiP DerpFest,No,yaelahsem,2020-03-08,sourceforge.net/projects/nangis,download.sourceforge.net/nangis/DerpFest-10-Depression-santoni-20200308-VANILLA.zip,,,4pda.ru/forum/index.php?act=findpost&pid=92683362
AICP,No,magchuz,2020-01-18,sourceforge.net/projects/akmalprojext,download.sourceforge.net/akmalprojext/aicp_santoni_q-15.0-UNOFFICIAL-20200118.zip,,,4pda.ru/forum/index.php?act=findpost&pid=92769362
Arrow OS,Yes,beingstargazer,2019-09-25,sourceforge.net/projects/stargazer-dev,download.sourceforge.net/stargazer-dev/Arrow-v10.0-santoni-UNOFFICIAL-20190925.zip,,,4pda.ru/forum/index.php?act=findpost&pid=89218993
Arrow OS,No,packpng,2020-03-11,,drive.google.com/uc?export=download&id=1Gy8CHl7w6D1uiwTiVMpgmKsJQhvVXMlQ,,,4pda.ru/forum/index.php?act=findpost&pid=94334865
Arrow OS,Yes,Pranaya Deomani (deomani007),2019-12-01,,mega.nz/file/OpVVQYyT#GUnwwc4UUOsna3Sn2TNCKcvwpc3UxR70LhcQ1vwxS6o,,,4pda.ru/forum/index.php?act=findpost&pid=91412166
Ancient,Yes,bikram_m,2020-03-30,sourceforge.net/projects/bikram-project,download.sourceforge.net/bikram-project/AncientOS-CIVILIZATION-v3.0.1-santoni-HOMEMADE-20200330-0533.zip,,,4pda.ru/forum/index.php?act=findpost&pid=95199422
Bliss,Yes,tioburla,2020-05-30,blissroms.com,download.sourceforge.net/blissroms/Bliss-v12.7-santoni-OFFICIAL-20200530.zip,forum.xda-developers.com/project-treble/trebleenabled-device-development/-t3918303,t.me/Team_Bliss_Community,4pda.ru/forum/index.php?act=findpost&pid=92922322
Bootleggers,No,yaelahsem,2020-06-08,sourceforge.net/projects/nangis,download.sourceforge.net/nangis/BootleggersROM-Weabolizzed4santoni.5.1-StableMaybe-Baka-20200608-081500.zip,,,4pda.ru/forum/index.php?act=findpost&pid=93257118
Bootleggers,Yes,TheBleh,2019-11-29,sourceforge.net/projects/bleh-projects,download.sourceforge.net/bleh-projects/BootleggersROM-Queue4santoni.4.7-MadStinky-Unshishufied-20191129-093450.zip,,,4pda.ru/forum/index.php?act=findpost&pid=91521120
Cesium,Yes,chaha,2020-05-07,,drive.google.com/uc?export=download&id=1Dy0KlBk5YTbvX2jIm6tU86Oh0V7DJW_z,,,4pda.ru/forum/index.php?act=findpost&pid=94849179
crDroid,No,silent27,2020-05-18,sourceforge.net/projects/silent27-rom,download.sourceforge.net/silent27-rom/crDroidAndroid-10.0-20200518-santoni-v6.6.zip,,,4pda.ru/forum/index.php?act=findpost&pid=94913269
crDroid,No,frank.e,2020-06-07,luis-builds.de,luis-builds.de/downloads/lineageos/cr/Xiaomi_Redmi_4X_(santoni)/crDroidAndroid-10.0-20200607-santoni-v6.6-LuisROM.zip,forum.xda-developers.com/xiaomi-redmi-4x/development/-t4071189,t.me/rr_luisrom,4pda.ru/forum/index.php?act=findpost&pid=93493097
crDroid,No,packpng,2020-02-07,sourceforge.net/projects/nangis,download.sourceforge.net/nangis/crDroidAndroid-10.0-20200207-santoni-v6.2.zip,,,4pda.ru/forum/index.php?act=findpost&pid=93690890
Colt,Yes,Aman Dwivedi,2020-05-12,sourceforge.net/projects/coltos,download.sourceforge.net/coltos/ColtOS-v6.0-Official-20200512-santoni.zip,,,4pda.ru/forum/index.php?act=findpost&pid=92337837
Corvus,No,grecm,2020-04-01,,drive.google.com/uc?export=download&id=1IlskTgb7KyLaCcibwG6TFBq6O6EvUnoX,,,4pda.ru/forum/index.php?act=findpost&pid=95529551
Corvus,Yes,amith_acharya,2020-05-11,sourceforge.net/projects/aareleases,download.sourceforge.net/aareleases/Corvus_v5.0-santoni-11052020-UNOFFICIAL-0504.zip,,,4pda.ru/forum/index.php?act=findpost&pid=96332099
Carbon,Yes,Aman Dwivedi,2020-01-07,sourceforge.net/projects/aman-builds,download.sourceforge.net/aman-builds/CARBON-CR-8.0-PAX-UNOFFICIAL-santoni-20200107-0959.zip,,,4pda.ru/forum/index.php?act=findpost&pid=92682045
Cygnus,Yes,TheBleh (AtifSiddiqui),2020-03-18,sourceforge.net/projects/cygnus-android,download.sourceforge.net/cygnus-android/Cygnus-2.0-OFFICIAL-santoni-VANILLA-CYGQ.0200.20200318.zip,,,4pda.ru/forum/index.php?act=findpost&pid=94880449
Descendant,Yes,Ojas Sinha (bionicBUG),2020-05-06,descendant.me,downloads.descendant.me/Home/HumanCheck?filename=descendant-X-OFFICIAL-santoni-20200506.zip&state=NotStarted,,,4pda.ru/forum/index.php?act=findpost&pid=94630824
DU-REX,Yes,TheBleh (AtifSiddiqui),2019-12-07,sourceforge.net/projects/bleh-projects,download.sourceforge.net/bleh-projects/du-rex_santoni-10-07122019-UNOFFICIAL.zip,,,4pda.ru/forum/index.php?act=findpost&pid=91628651
Evolution X,Yes,amith_acharya,2020-05-09,sourceforge.net/projects/aareleases,download.sourceforge.net/aareleases/EvolutionX_4.3_santoni-10.0-20200509-0554-UNOFFICIAL.zip,,,4pda.ru/forum/index.php?act=findpost&pid=95879277
Evolution X,Yes,Nagarajan GK,2020-03-06,,drive.google.com/uc?export=download&id=1--upwV9ZeMU0ahX5wBVdMkHx0Sx4c8FB,,,4pda.ru/forum/index.php?act=findpost&pid=94548438
extendedUI,Yes,amith_acharya,2020-04-26,sourceforge.net/projects/aareleases,download.sourceforge.net/aareleases/ExtendedUI_1.1_santoni-10.0-20200426-0530-UNOFFICIAL.zip,,,4pda.ru/forum/index.php?act=findpost&pid=95992747
extendedUI,No,silent27,2020-02-08,,mega.nz/file/hcABwI4C#KPW-szM4LAX4Ln2wwcVr4gC19voZACAiSVnxlJHTIwQ,,,4pda.ru/forum/index.php?act=findpost&pid=93713812
extendedUI,No,juwand,2020-02-08,sourceforge.net/projects/nangis,download.sourceforge.net/nangis/ExtendedUI_1.0.2_santoni-10.0-20200208-2318-UNOFFICIAL.zip,,,4pda.ru/forum/index.php?act=findpost&pid=93730989
Havoc,Yes,beingstargazer (stargazer19),2020-05-09,sourceforge.net/projects/havoc-os,download.sourceforge.net/havoc-os/Havoc-OS-v3.5-20200509-santoni-Official.zip,forum.xda-developers.com/xiaomi-redmi-4x/development/-t4045593,t.me/havocofficial,4pda.ru/forum/index.php?act=findpost&pid=90208915
Ion,Yes,thesambit,2020-06-05,sourceforge.net/projects/i-o-n,download.sourceforge.net/i-o-n/ion-2.7.a-santoni-20200605-1149-OFFICIAL-Release.zip,,,4pda.ru/forum/index.php?act=findpost&pid=96156968
Komodo,Yes,juwand,2020-03-26,sourceforge.net/projects/nangis,download.sourceforge.net/nangis/KomodoOS-santoni-2.0-20200326-1520-UNOFFICIAL.zip,,,4pda.ru/forum/index.php?act=findpost&pid=95094197
Lineage X,Yes,Ajay Bhojani,2020-05-19,sourceforge.net/projects/cucumbercurry,download.sourceforge.net/cucumbercurry/LineageX-10.0-20200519-santoni-v1.0.zip,,,4pda.ru/forum/index.php?act=findpost&pid=96642307
Lineage,No,rasudunnabi,2020-05-30,sourceforge.net/projects/laggy-stuff,download.sourceforge.net/laggy-stuff/lineage-17.1-20200530-UNOFFICIAL-santoni.zip,,,4pda.ru/forum/index.php?act=findpost&pid=95872230
Lineage,Yes,pm_the_angry,2020-04-03,sourceforge.net/projects/santoni-4x,download.sourceforge.net/santoni-4x/lineage-17.1-20200403-UNOFFICIAL-santoni.zip,,,4pda.ru/forum/index.php?act=findpost&pid=95300523
Lineage,No,Aman Dwivedi,2020-03-16,sourceforge.net/projects/aman-builds,download.sourceforge.net/aman-builds/lineage-17.1-20200316-UNOFFICIAL-santoni.zip,,,4pda.ru/forum/index.php?act=findpost&pid=94816433
Lineage,No,yaelahsem,2020-02-10,sourceforge.net/projects/nangis,download.sourceforge.net/nangis/lineage-17.1-20200210-UNOFFICIAL-santoni.zip,,,4pda.ru/forum/index.php?act=findpost&pid=93762009
Lineage,Yes,mratifsiddiqui,2020-02-10,sourceforge.net/projects/bleh-projects,download.sourceforge.net/bleh-projects/lineage-17.1-20200209-UNOFFICIAL-santoni.zip,,,4pda.ru/forum/index.php?act=findpost&pid=91336395
MSM Extended,Yes,beingstargazer,2020-05-11,sourceforge.net/projects/xtended,download.sourceforge.net/xtended/Xtended-XQ-v9.0-santoni-OFFICIAL-20200511.zip,,t.me/xtendedrom,4pda.ru/forum/index.php?act=findpost&pid=93928170
Paranoid,Yes,bikram_m,2020-05-16,sourceforge.net/projects/bikram-project,download.sourceforge.net/bikram-project/pa-quartz-3-santoni-20200516-dev.zip,,,4pda.ru/forum/index.php?act=findpost&pid=95975519
Paranoid,Yes,Ojas Sinha (bionicBUG),2020-01-13,sourceforge.net/projects/ojas-rom,download.sourceforge.net/ojas-rom/pa-quartz-1-santoni-20200113-dev.zip,,,4pda.ru/forum/index.php?act=findpost&pid=92861325
Pixys,Yes,Ojas Sinha (bionicBUG) & Dhruv Gera (dhruv_gera),2019-10-18,sourceforge.net/projects/ojas-rom,download.sourceforge.net/ojas-rom/PixysOS-v3.0.0-santoni-BETA-20191018-043121.zip,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3974875,t.me/pixysos_chat,4pda.ru/forum/index.php?act=findpost&pid=89335996
Pixys,Yes,Dhruv Gera (dhruv_gera),2019-12-12,,mega.nz/file/eo8R2ILS#23p4MksfiZW7mKER37F_NwJ4NG1_e7p5n6l24GzrdEU,,,4pda.ru/forum/index.php?act=findpost&pid=91817938
Pixel Experience,Yes,Pranaya Deomani (deomani007),2020-04-19,pixelexperience.org,download.pixelexperience.org/changelog/santoni/PixelExperience_santoni-10.0-20200419-0659-OFFICIAL.zip,forum.xda-developers.com/xiaomi-redmi-4x/development/-t4008711,t.me/PixelExperience,4pda.ru/forum/index.php?act=findpost&pid=94811087
Pixel Experience Plus,Yes,Pranaya Deomani (deomani007),2020-04-19,pixelexperience.org,download.pixelexperience.org/changelog/santoni/PixelExperience_Plus_santoni-10.0-20200419-0704-OFFICIAL.zip,forum.xda-developers.com/xiaomi-redmi-4x/development/-t4008711,t.me/PixelExperience,4pda.ru/forum/index.php?act=findpost&pid=94811087
Pixel Experience,No,silent27,2020-03-13,,mega.nz/folder/UJoEWSTK#07fhQ6ghviwS4JoDNXUNfg/file/8F4HzZ5I,,,4pda.ru/forum/index.php?act=findpost&pid=89476325
Pixel Experience Plus,No,silent27,2020-04-23,,mega.nz/folder/BV4HnJLA#ehhNf5RrgtNLeYG5ESD0Rw/file/JV4FHSyA,,,4pda.ru/forum/index.php?act=findpost&pid=89476325
POSP,No,bucinmeong,2020-04-07,sourceforge.net/projects/nangis,download.sourceforge.net/nangis/potato_santoni-10-20200407-croquette.v3.1.6%2B11.Community.zip,,,4pda.ru/forum/index.php?act=findpost&pid=94980097
Reloaded,Yes,arthdoshi33,2020-05-14,sourceforge.net/projects/arthdoshi33,download.sourceforge.net/arthdoshi33/Reloaded-10.0-UNOFFICIAL-20200514-santoni.zip,,,4pda.ru/forum/index.php?act=findpost&pid=96527248
Revenge,Yes,Arth Doshi (arthdoshi33),2020-04-15,sourceforge.net/projects/arthdoshi33,download.sourceforge.net/arthdoshi33/RevengeOS-3.2-Q-OFFICIAL-santoni-20200415-0420.zip,,,4pda.ru/forum/index.php?act=findpost&pid=89615788
Sakura,Yes,Darth_Wafer,2020-05-15,sourceforge.net/projects/cucumbercurry,download.sourceforge.net/cucumbercurry/ProjectSakura-VANILLA-1.Q-20200515-0729-santoni-UNOFFICIAL.zip,,,4pda.ru/forum/index.php?act=findpost&pid=96533536
Syberia,Yes,AtifSiddiqui,2020-04-29,sourceforge.net/projects/bleh-projects,download.sourceforge.net/bleh-projects/syberia_santoni-v3.6-20200429-1630-UNOFFICIAL.zip,,,4pda.ru/forum/index.php?act=findpost&pid=96019433
Stag,Yes,Arth Doshi (arthdoshi33),2020-04-18,sourceforge.net/projects/arthdoshi33,download.sourceforge.net/arthdoshi33/StagOS-santoni-10.0.1-UNOFFICIAL-20200418-1415.zip,,,4pda.ru/forum/index.php?act=findpost&pid=95752731
